"","Model","Price","Manufacturer","Year","Count"
"120","3s Hatchback",5500,"Mazda",2005,1
"121","4",800,"Nissan",2001,1
"122","4-Runner",25781.4747474747,"Toyota",2016,99
"123","4-Runner 4x4 V6",8997,"Toyota",2005,6
"124","4 Runner",14375.4444444444,"Toyota",1997,9
"125","4 Runner 2006",9999,"Toyota",2006,1
"126","4 Runner Sr-5 Sport",7990,"Toyota",2004,1
"127","4 Runner Sr5",8500,"Toyota",2007,1
"128","4 Runner Sr5 4wd",23995,"Toyota",2013,1
"129","4 Runner Sr5 4x4",6850,"Toyota",2003,1
"130","4.0 & 6.0",3375,"Nissan",2012,8
"131","430 Ls",8400,"Lexus",2005,1
"132","4runner",18515.305,"Toyota",2019,600
"133","4runner 4 Runner",15995,"Toyota",2000,2
"134","4runner 4 Runner Sr5",17991,"Toyota",2011,1
"135","4runner 4 Runner Trail",23991,"Toyota",2010,1
"136","4runner 4dr Sr5 Sport V6 Auto (Natl)",9979,"Toyota",2003,1
"137","4runner 4wd",11377.8571428571,"Toyota",1989,14
"138","4runner 4wd 4dr V6 Sr5",328.333333333333,"Toyota",2011,3
"139","4runner 4wd Automatic",42354,"Toyota",2018,2
"140","4runner 4x4",6745,"Toyota",2004,2
"141","4runner 4x4 Sr5",3300,"Toyota",2002,1
"142","4runner Lifted Black Beauty Sr5 3rd Row 4x4 Automatic V6",34995,"Toyota",2016,9
"143","4runner Limited",16790.0344827586,"Toyota",2001,58
"144","4runner Limited 4wd",9379,"Toyota",2007,5
"145","4runner Limited 4wd (Natl)",38770,"Toyota",2018,1
"146","4runner Limited 4x4",12540.4545454545,"Toyota",2000,11
"147","4runner Limited 4x4 Gas",36569.8571428571,"Toyota",2016,7
"148","4runner Limited Automatic",34451,"Toyota",2018,1
"149","4runner Limited Awd",12450,"Toyota",2008,1
"150","4runner Limited Leather",28980,"Toyota",2012,3
"151","4runner Limited V8",8747.5,"Toyota",2003,2
"152","4runner Ltd",8790,"Toyota",2009,2
"153","4runner Sport",8648.25,"Toyota",2004,4
"154","4runner Sport 4x4",12500,"Toyota",2005,1
"155","4runner Sport Edition",6966.66666666667,"Toyota",2003,3
