"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"1","Pittsburgh",6499,2010,"Ford","Transit Connect","Excellent","4 cylinders","Gas",114000,"Automatic","FWD","Mid-Size","Mini-Van","White","PA",40.548,-80.05,"Non-JDM"
"2","Maine",10999,2009,"Acura","Mdx","Good",NA,"Gas",144705,"Automatic","4WD","Full-Size","Suv","White","ME",42.8356,-71.0934,"JDM"
"3","Bellingham",30000,2013,"Chevrolet","Silverado",NA,NA,"Gas",81888,"Automatic","4WD",NA,"Pickup","Red","WA",48.7567,-122.451,"Non-JDM"
"4","Quad Cities, Ia/Il",19950,2015,"Infiniti","Q50 Premium Awd Sport S",NA,NA,"Gas",50799,"Automatic",NA,NA,NA,NA,"IL",44.8346,-91.5159,"JDM"
"5","Space Coast",6900,2007,"Mercedes-benz","Slk-Class Slk 280","Excellent","6 cylinders","Gas",168967,"Automatic","RWD","Compact","Coupe","Silver","FL",28.3888,-80.7301,"Non-JDM"
"6","Redding",25777,2015,"Chevrolet","Suburban",NA,NA,"Gas",127624,"Automatic","RWD",NA,"Suv","White","CA",38.605,-121.402,"Non-JDM"
"7","Yakima",44999,2007,"Ford","Mustang Shelby Gt500 Rwd",NA,NA,"Gas",4001,"Manual","RWD",NA,"Coupe","Black","WA",46.2348,-119.128,"Non-JDM"
"8","Boston",18590,2017,"Chevrolet","Bolt Ev",NA,NA,"Electric",39170,"Automatic","FWD",NA,"Hatchback","Blue","MA",42.1301,-71.5234,"Non-JDM"
"9","Eugene",19999,2015,"GMC","Acadia Denali Awd","Excellent","6 cylinders","Gas",95000,"Automatic","4WD",NA,NA,NA,"OR",44.046,-122.97,"Non-JDM"
"10","Boone",38404,2019,"Chevrolet","Suburban Lt","Good","8 cylinders","Other",53364,"Automatic",NA,NA,"Other","Blue","NC",36.2244,-81.6328,"Non-JDM"
"11","Pittsburgh",6995,2010,"Honda","Crv Lx",NA,"4 cylinders","Gas",155766,"Automatic","4WD",NA,"Suv",NA,"PA",41.0252,-80.6687,"JDM"
"12","Mankato",17300,2017,"Honda","Accord Lt","Excellent","4 cylinders","Gas",41000,"Automatic",NA,NA,NA,NA,"MN",44.1538,-93.996,"JDM"
"13","Wausau",10950,2009,"Chevrolet","Express Cargo Van","Good","8 cylinders","Gas",196611,"Automatic","4WD","Mid-Size","Van","White","WI",45.5534,-94.2318,"Non-JDM"
"14","Omaha / Council Bluffs",27900,2017,"Ford","F-150",NA,NA,"Other",148372,"Automatic","4WD",NA,"Pickup","Black","IA",41.4242,-96.4999,"Non-JDM"
"15","Raleigh / Durham / Ch",19480,2017,"Volkswagen","Golf Gti","Good",NA,"Gas",44329,"Automatic",NA,NA,"Hatchback","Red","NC",35.4258,-77.9838,"Non-JDM"
"16","Richmond",9300,2009,"BMW","X5","Excellent","6 cylinders","Gas",139000,"Automatic","4WD","Full-Size","Suv","Grey","VA",37.587,-77.5068,"Non-JDM"
"17","Yuba-Sutter",10995,2014,"Ford","Fusion Se","Excellent","4 cylinders","Gas",78476,"Automatic","FWD","Mid-Size","Sedan","Grey","CA",39.1453,-121.596,"Non-JDM"
"18","Sarasota-Bradenton",7900,2008,"Lincoln","Mkx","Like new","6 cylinders","Gas",117500,"Automatic","4WD","Mid-Size","Suv","White","FL",26.9309,-82.2511,"Non-JDM"
"19","Appleton-Oshkosh-Fdl",9998,2014,"Ford","Fusion",NA,NA,"Gas",126023,"Automatic","FWD",NA,"Sedan","Silver","WI",44.0375,-88.1609,"Non-JDM"
"20","Waterloo / Cedar Falls",9450,2014,"Buick","Verano","Excellent","4 cylinders","Gas",55000,"Automatic","FWD","Compact","Sedan","White","IA",42.4845,-92.325,"Non-JDM"
"21","Colorado Springs",36750,2019,"Ford","F-150",NA,"6 cylinders","Gas",9071,"Automatic","4WD",NA,"Truck",NA,"CO",47.412,-122.241,"Non-JDM"
"22","Ocala",34990,2018,"Toyota","Tacoma Double Cab Trd","Good","6 cylinders","Gas",27767,"Other",NA,NA,"Pickup",NA,"FL",33.7792,-84.4118,"JDM"
"23","Maine",10000,2006,"Ford","F250 Powerstroke 4x4",NA,"8 cylinders","Diesel",172000,"Automatic","4WD",NA,NA,NA,"ME",42.8356,-71.0934,"Non-JDM"
"24","Columbus",2200,2009,"Nissan","Versa","Good","4 cylinders","Gas",205595,"Automatic","FWD","Compact","Sedan","White","OH",40.0326,-82.9103,"JDM"
"25","Des Moines",5400,2005,"Honda","Element Ex","Excellent","4 cylinders","Gas",140000,"Automatic","4WD",NA,"Suv",NA,"IA",41.5929,-93.8149,"JDM"
"26","Champaign Urbana",5950,2013,"Ford","Focus","Good","4 cylinders","Gas",130000,"Automatic","FWD","Compact","Sedan","Black","IL",40.1185,-88.2034,"Non-JDM"
"27","Spokane / Coeur D'alene",7995,2012,"Ford","Edge","Good","6 cylinders","Gas",143991,"Automatic","FWD","Full-Size","Suv","Silver","ID",47.664,-117.564,"Non-JDM"
"28","Knoxville",10700,2012,"Subaru","Outback","Excellent","4 cylinders","Gas",100200,"Automatic","4WD","Full-Size","Wagon","Black","TN",36.0276,-84.2457,"JDM"
"29","New Hampshire",11990,2013,"Volkswagen","Jetta Se","Excellent","5 cylinders","Gas",71184,"Automatic","FWD",NA,NA,NA,"NH",42.9212,-70.8585,"Non-JDM"
"30","Milwaukee",12960,2012,"Ford","Econoline Cargo Van","Good","8 cylinders","Gas",107346,"Automatic","RWD","Mid-Size","Van","White","WI",43.1228,-88.5279,"Non-JDM"
"31","Asheville",18999,2019,"Dodge","Grand Caravan Sxt","Good",NA,"Gas",28496,"Automatic",NA,NA,"Van","Silver","NC",35.6935,-82.0237,"Non-JDM"
"32","Cape Cod / Islands",12995,2007,"Chevrolet","Silverado 1500","Excellent",NA,"Gas",109586,"Automatic","4WD",NA,"Pickup","Black","MA",41.669,-70.2696,"Non-JDM"
"33","Kennewick-Pasco-Richland",14500,2014,"Jeep","Cherokee Latitude 4x4","Excellent",NA,"Gas",79854,"Automatic","4WD","Mid-Size","Suv","Red","WA",46.3153,-119.371,"Non-JDM"
"34","Long Island",7999,2007,"Toyota","Sienna Handicap","Excellent","6 cylinders","Gas",159762,"Automatic","FWD","Full-Size","Van","Grey","NY",41.5511,-73.0645,"JDM"
"35","St Louis, Mo",14590,2018,"Chevrolet","Malibu",NA,NA,"Gas",46844,"Automatic","FWD",NA,NA,"Black","IL",38.697,-90.4055,"Non-JDM"
"36","Salem",246,2017,"Volkswagen","Passat 1.8t Se Auto",NA,"4 cylinders","Gas",32026,"Automatic","FWD",NA,"Sedan",NA,"OR",44.9732,-123.018,"Non-JDM"
"37","Jersey Shore",4000,1994,"Chevrolet","G-20",NA,"8 cylinders","Gas",65000,"Automatic",NA,NA,"Van","White","NJ",40.2096,-74.0714,"Non-JDM"
"38","Oklahoma City",13500,2013,"Nissan","Armada Sv",NA,"8 cylinders","Other",763421,"Automatic","RWD","Full-Size","Suv","Black","OK",35.6748,-97.4997,"JDM"
"39","Wichita",15995,2011,"Chevrolet","Tahoe",NA,NA,"Other",131915,"Automatic","4WD",NA,"Suv","Silver","KS",35.3411,-97.4424,"Non-JDM"
"40","Little Rock",19994,2020,"Chevrolet","Trax",NA,NA,"Gas",4,"Automatic","FWD",NA,NA,NA,"AR",38.4018,-93.785,"Non-JDM"
"41","Boise",10000,2012,"Toyota","Prius","Excellent","4 cylinders","Gas",145390,"Automatic","FWD",NA,"Sedan","Custom","ID",43.6185,-116.337,"JDM"
"42","Atlanta",6299,2009,"Honda","Odyssey Ex-L W/ Dvd","Excellent","6 cylinders","Gas",128000,"Automatic","FWD",NA,"Mini-Van","Grey","GA",34.0335,-84.3405,"JDM"
"43","Youngstown",12000,2015,"Chevrolet","Malibu",NA,NA,"Gas",56317,"Automatic","FWD",NA,NA,NA,"OH",41.1863,-80.9796,"Non-JDM"
"44","Boston",9200,2010,"Toyota","Camry","Excellent","4 cylinders","Gas",69052,"Automatic","FWD","Mid-Size","Sedan","Black","MA",42.3763,-70.98,"JDM"
"45","San Antonio",8695,2014,"Ford","Fusion 4dr Sdn S Fwd",NA,"4 cylinders",NA,128463,"Automatic","FWD",NA,"Sedan","White","TX",29.5294,-98.4962,"Non-JDM"
"46","Asheville",31590,2017,"Ford","F150 Supercrew Cab Xlt","Good","6 cylinders","Gas",53188,"Automatic","4WD",NA,"Pickup","Blue","NC",35.4,-80.59,"Non-JDM"
"47","Kennewick-Pasco-Richland",67995,2018,"Ford","Super Duty F-350 Srw",NA,"8 cylinders","Diesel",21560,"Automatic","4WD",NA,"Truck",NA,"WA",45.5098,-122.967,"Non-JDM"
"48","Kansas City, Mo",4850,2011,"Hyundai","Elantra","Good","4 cylinders","Gas",111000,"Automatic","FWD","Mid-Size","Hatchback","Black","KS",38.7631,-94.8246,"Non-JDM"
"49","Jersey Shore",8777,2008,"Mercedes-benz","Benz C300",NA,NA,"Gas",124480,"Automatic",NA,NA,NA,NA,"NJ",40.0389,-74.1109,"Non-JDM"
"50","Bakersfield",33950,2018,"Ford","F250 Super Duty Crew","Excellent","8 cylinders","Gas",83387,"Automatic","4WD","Full-Size","Truck","White","CA",33.7947,-117.993,"Non-JDM"
"51","Space Coast",37900,2016,"Rover",NA,NA,NA,"Diesel",103000,NA,NA,NA,"Suv","Black","FL",25.6558,-80.3814,"Non-JDM"
"52","Little Rock",23470,2016,"Cadillac","Srx",NA,NA,"Gas",59858,"Automatic",NA,NA,NA,NA,"AR",38.4018,-93.785,"Non-JDM"
"53","Vermont",13628,2010,"Toyota","Highlander","Good",NA,"Gas",127241,"Automatic","4WD","Full-Size","Suv","Grey","VT",47.3812,-94.6669,"JDM"
"54","Tampa Bay Area",13998,2017,"Toyota","Corolla Im",NA,"4 cylinders","Gas",35150,"Automatic","FWD","Mid-Size","Hatchback","Silver","FL",27.8389,-82.715,"JDM"
"55","Ft Myers / Sw Florida",6500,2000,"Toyota","Celica Gt","Excellent","4 cylinders","Gas",133000,"Automatic","FWD",NA,"Hatchback","White","FL",26.9379,-82.2388,"JDM"
"56","Gainesville",6500,2008,"Honda","Civic","Excellent",NA,"Gas",98261,"Other",NA,NA,"Sedan","Blue","FL",29.6865,-82.3218,"JDM"
"57","Corpus Christi",16931,2019,"Ford","Fusion",NA,"4 cylinders","Gas",36106,"Automatic","FWD","Mid-Size","Sedan","Silver","TX",27.7036,-97.345,"Non-JDM"
"58","Mcallen / Edinburg",40812,2013,"Ram","3500",NA,NA,"Diesel",86100,"Automatic","4WD",NA,NA,"Blue","TX",26.2044,-98.1946,"Non-JDM"
"59","Columbus",9900,2007,"Mercedes-benz","Benz Clk350","Good","6 cylinders","Gas",107000,"Automatic",NA,NA,"Convertible","Silver","GA",33.9701,-84.2216,"Non-JDM"
"60","Boise",7988,2011,"Buick","Regal Cxl","Excellent","4 cylinders","Gas",56688,"Automatic","FWD","Mid-Size","Sedan","White","ID",43.5871,-116.533,"Non-JDM"
"61","Bloomington",12500,2011,"Chevrolet","Siverado","Good","8 cylinders","Gas",150000,"Automatic","4WD","Full-Size","Truck","White","IN",39.2367,-86.222,"Non-JDM"
"62","Appleton-Oshkosh-Fdl",3400,2007,"Hyundai","Sonata Limited Sedan 4d","Excellent","6 cylinders","Gas",131000,"Automatic","FWD","Mid-Size","Sedan",NA,"WI",44.2623,-88.3055,"Non-JDM"
"63","Reno / Tahoe",15995,2010,"Acura","Mdx","Good","6 cylinders","Gas",91085,"Automatic","4WD","Full-Size","Suv","Silver","CA",39.4945,-119.789,"JDM"
"64","Jacksonville",29495,2014,"Chevrolet","Silverado High Country","Excellent","8 cylinders","Gas",126621,"Automatic","4WD","Full-Size","Pickup","Custom","FL",30.2867,-81.5476,"Non-JDM"
"65","Tulsa",59367,2020,"Jaguar","F-Type",NA,NA,"Gas",10215,"Automatic","RWD",NA,NA,"White","OK",38.4018,-93.785,"Non-JDM"
"66","Orlando",19739,2017,"Mazda","Cx-5",NA,"4 cylinders","Gas",38946,"Automatic","FWD","Mid-Size","Suv","Custom","FL",28.7924,-81.2313,"JDM"
"67","Kansas City, Mo",4999,2013,"Chevrolet","Sonic","Excellent","4 cylinders","Gas",114969,"Automatic","FWD",NA,"Hatchback","Black","KS",39.0098,-94.3046,"Non-JDM"
"68","New Hampshire",11995,2010,"Ford","F-150 Xlt Supercrew 4wd","Excellent","8 cylinders","Gas",156000,"Automatic","4WD",NA,"Pickup",NA,"NH",43.4426,-71.6491,"Non-JDM"
"69","Rochester",4000,2003,"GMC","Yukon Denali","Good","8 cylinders","Gas",248000,"Automatic",NA,"Full-Size","Suv","Blue","NY",42.3032,-77.8065,"Non-JDM"
"70","Cincinnati",15000,1993,"Chevrolet","Camaro Z28","Good","8 cylinders","Gas",68500,"Automatic","RWD",NA,"Coupe","Custom","OH",38.943,-84.5425,"Non-JDM"
"71","Huntsville / Decatur",14989,2012,"Ford","Econoline Cargo Van",NA,"8 cylinders","Gas",103682,"Automatic","RWD",NA,"Van","White","AL",36.138,-86.7312,"Non-JDM"
"72","St Cloud",6978,2013,"KIA","Sorento",NA,"6 cylinders","Gas",135639,"Automatic",NA,NA,"Suv","White","MN",46.4401,-95.1283,"Non-JDM"
"73","Omaha / Council Bluffs",14998,2014,"Chevrolet","Equinox",NA,"4 cylinders","Gas",23215,"Automatic",NA,NA,"Suv","Silver","IA",41.2074,-96.0231,"Non-JDM"
"74","Skagit / Island / Sji",5995,2007,"BMW","X3",NA,NA,"Gas",141532,"Automatic",NA,NA,"Suv","Silver","WA",48.422,-122.346,"Non-JDM"
"75","New Haven",20990,2019,"Toyota","Corolla Hatchback Se 4d","Good",NA,"Gas",9774,"Other","FWD",NA,"Hatchback","Blue","CT",41.76,-72.68,"JDM"
"76","Worcester / Central Ma",17693,2017,"KIA","Sorento Lx","Good",NA,"Other",37958,"Automatic","FWD",NA,"Other",NA,"MA",41.6407,-71.0506,"Non-JDM"
"77","Lansing",5995,2011,"Chevrolet","Cruze",NA,NA,"Gas",111094,"Automatic",NA,NA,NA,NA,"MI",43.1824,-84.1122,"Non-JDM"
"78","Colorado Springs",12702,2013,"BMW","3 Series",NA,NA,"Gas",95629,"Automatic",NA,NA,"Coupe","Blue","CO",38.8196,-104.759,"Non-JDM"
"79","Myrtle Beach",23900,1987,"Ford","Mustang Gt","Like new","8 cylinders","Gas",20000,"Manual",NA,NA,NA,NA,"SC",34.2651,-77.867,"Non-JDM"
"80","Erie",7250,2014,"Chevrolet",NA,"Like new",NA,"Gas",50826,"Automatic",NA,NA,NA,NA,"PA",42.1109,-80.1534,"Non-JDM"
"81","Jacksonville",6000,2005,"Lexus","Is300","Good","6 cylinders","Gas",97000,"Automatic","RWD","Mid-Size","Sedan",NA,"FL",30.2933,-81.5092,"JDM"
"82","Akron / Canton",12972,2010,"Lexus","Ls 460 Awd",NA,NA,"Gas",131603,"Automatic",NA,NA,"Other","Black","OH",41.4283,-81.5274,"JDM"
"83","Hartford",9800,2011,"Honda","Pilot","Excellent","6 cylinders","Gas",173000,"Automatic","4WD","Mid-Size","Suv","White","CT",40.6082,-72.9596,"JDM"
"84","North Jersey",18995,2015,"Toyota","Camry",NA,NA,"Gas",34541,"Automatic",NA,NA,"Other","Black","NJ",40.9268,-74.1435,"JDM"
"85","Jacksonville",57999,2016,"Dodge","Charger","Excellent",NA,"Gas",5852,"Other",NA,NA,"Sedan","White","FL",28.4661,-81.3964,"Non-JDM"
"86","Hickory / Lenoir",8200,2013,"Chrysler","Town And Country","Excellent",NA,"Gas",107530,"Automatic",NA,NA,NA,NA,"NC",35.6498,-81.2425,"Non-JDM"
"87","Albuquerque",9900,2013,"Honda","Civic","Excellent","4 cylinders","Gas",130110,"Manual","FWD","Compact","Coupe","Red","NM",35.101,-106.518,"JDM"
"88","Billings",6975,2010,"Hyundai","Santa Fe","Good","6 cylinders","Gas",179904,"Automatic","4WD",NA,NA,NA,"MT",45.8828,-108.506,"Non-JDM"
"89","Redding",19995,2016,"Chevrolet","Colorado",NA,NA,"Gas",100697,"Automatic","4WD",NA,"Pickup","White","CA",38.2277,-122.619,"Non-JDM"
"90","Salt Lake City",21900,2013,"Dodge","Grand Caravan Sxt Wheelch",NA,"6 cylinders","Gas",47788,"Automatic","FWD",NA,"Van",NA,"UT",33.6811,-112.058,"Non-JDM"
"91","Pittsburgh",2500,1997,"Volvo","850","Good","6 cylinders","Gas",116000,"Automatic","FWD","Full-Size","Sedan","Red","PA",40.4308,-79.9205,"Non-JDM"
"92","Des Moines",11995,2017,"Hyundai","Sonata","Excellent","4 cylinders","Gas",64707,"Automatic",NA,NA,"Sedan",NA,"IA",41.6002,-93.6985,"Non-JDM"
"93","Orlando",20998,2017,"Ford","F-150",NA,"6 cylinders","Gas",44801,"Automatic","RWD","Full-Size","Pickup","Custom","FL",28.7924,-81.2313,"Non-JDM"
"94","Salem",12795,2014,"Chevrolet","Camaro Ls","Excellent",NA,"Gas",137761,"Automatic",NA,NA,NA,NA,"OR",44.0446,-123.003,"Non-JDM"
"95","Greensboro",2750,2001,"Buick","Lesabre","Good","6 cylinders","Gas",212000,"Automatic","FWD","Full-Size","Sedan","Brown","NC",35.9359,-79.9395,"Non-JDM"
"96","Yuba-Sutter",5999,2002,"Mercury","Mountaineer","Excellent","8 cylinders","Gas",164578,"Automatic","4WD",NA,"Suv",NA,"CA",39.1234,-121.611,"Non-JDM"
"97","Wausau",18695,2018,"Subaru","Forester 2.5i Premium",NA,"4 cylinders","Gas",92986,"Automatic","4WD",NA,NA,NA,"WI",45.0042,-90.3596,"JDM"
"98","Brainerd",16500,2017,"Buick","Encore",NA,"4 cylinders","Gas",16950,"Automatic","FWD",NA,"Suv","Red","MN",46.5902,-95.5747,"Non-JDM"
"99","Central Nj",2500,1985,"BMW","318i","Fair","4 cylinders","Gas",125598,"Automatic","FWD","Compact","Coupe","Red","NJ",40.5393,-74.3117,"Non-JDM"
"100","New Hampshire",13995,2012,"Chevrolet","Silverado",NA,NA,"Gas",178012,"Automatic","4WD",NA,"Pickup","Silver","NH",42.963,-71.0639,"Non-JDM"
"101","Hartford",1000,2006,"Nissan","Altima",NA,"4 cylinders","Gas",173619,"Automatic",NA,"Mid-Size","Sedan","Red","CT",41.5621,-72.6739,"JDM"
"102","Columbus",4900,2009,"Ford","Escape",NA,"6 cylinders","Gas",96000,"Automatic","4WD",NA,"Suv",NA,"OH",41.0334,-81.4385,"Non-JDM"
"103","Albany",2500,2005,"Jeep","Liberty Renegade","Good","6 cylinders","Gas",1e+05,"Automatic","FWD","Sub-Compact","Suv",NA,"GA",31.5393,-83.8607,"Non-JDM"
"104","Hartford",17900,2015,"BMW","428i",NA,NA,"Gas",78255,"Automatic",NA,"Compact","Sedan","Blue","CT",40.6228,-73.7401,"Non-JDM"
"105","Reno / Tahoe",14990,2000,"Toyota","Land Cruiser","Excellent","8 cylinders","Gas",284049,"Automatic","4WD",NA,"Suv",NA,"CA",39.4956,-119.79,"JDM"
"106","Reno / Tahoe",3000,2005,"Volkswagen","Toureg","Good","8 cylinders","Gas",206000,"Automatic","4WD","Mid-Size","Suv","Green","CA",39.498,-119.824,"Non-JDM"
"107","Oklahoma City",7995,2006,"Infiniti","G35","Excellent","6 cylinders","Gas",102615,"Automatic","RWD",NA,NA,"Custom","OK",35.5113,-97.5924,"JDM"
"108","Reno / Tahoe",35995,2015,"Chevrolet","Silverado 1500 Ltz Z71 4x4 4wd Sport",NA,"8 cylinders","Gas",124937,"Automatic","4WD",NA,"Pickup","Black","CA",39.6029,-119.777,"Non-JDM"
"109","Williamsport",11000,2008,"GMC","C5500","Good","other","Diesel",44000,"Automatic","RWD","Full-Size","Van","White","PA",40.9799,-76.6229,"Non-JDM"
"110","Fort Collins / North Co",10500,2004,"Ford","F250 Super Duty",NA,NA,"Diesel",252134,"Automatic",NA,NA,NA,NA,"CO",40.5384,-105.055,"Non-JDM"
"111","Pittsburgh",29999,2008,"Ford","Mustang Shelby Gt500","Excellent",NA,"Gas",55162,"Manual","RWD",NA,"Convertible","White","PA",40.5724,-79.9547,"Non-JDM"
"112","Reno / Tahoe",22900,1998,"Ram","2500 Diesel 4x4 5.9l 24valve Cummins Turbo Diesel",NA,"6 cylinders","Diesel",120000,"Automatic","4WD",NA,"Pickup","Silver","CA",38.6093,-121.444,"Non-JDM"
"113","Lynchburg",17899,2017,"Toyota","Camry","Excellent","4 cylinders","Gas",16294,"Automatic","FWD","Full-Size","Sedan","Black","VA",37.3635,-79.2892,"JDM"
"114","Odessa / Midland",5500,2008,"Nissan","Pathfinder","Excellent","6 cylinders","Gas",116000,"Automatic","RWD","Mid-Size","Suv","White","TX",32.022,-102.128,"JDM"
"115","Kenosha-Racine",6495,2014,"Ford","Focus Automatic",NA,NA,"Gas",94860,"Automatic",NA,NA,NA,NA,"WI",42.7726,-87.796,"Non-JDM"
"116","Palm Springs",17500,2002,"Ford","F550","Excellent","10 cylinders","Gas",68973,"Automatic","RWD",NA,"Truck","White","CA",33.9163,-118.297,"Non-JDM"
"117","Kenosha-Racine",1475,1999,"Chrysler","300m","Good",NA,"Gas",141000,"Automatic",NA,NA,"Sedan",NA,"WI",42.5293,-87.8855,"Non-JDM"
"118","Daytona Beach",24990,2018,"Volkswagen","Tiguan 2.0t Sel Sport","Good",NA,"Gas",35269,"Automatic","FWD",NA,"Other","Black","FL",33.7792,-84.4118,"Non-JDM"
"119","Huntsville / Decatur",39900,2014,"Ram","3500",NA,"6 cylinders","Diesel",116226,"Automatic","4WD",NA,NA,"Grey","AL",35.5165,-86.4419,"Non-JDM"
"120","Mason City",3950,2005,"Buick","Lesabre Custom","Excellent",NA,"Gas",131,"Automatic","FWD",NA,NA,NA,"IA",43.7077,-93.7247,"Non-JDM"
"121","Northern Wi",19695,2017,"Subaru","Outback 2.5i Premium",NA,"4 cylinders","Gas",71950,"Automatic","4WD",NA,NA,NA,"WI",45.0042,-90.3596,"JDM"
"122","Charlotte",19900,2016,"Dodge","Charger",NA,NA,"Gas",81976,"Automatic","RWD","Full-Size","Sedan",NA,"NC",35.2516,-81.0795,"Non-JDM"
"123","Milwaukee",7645,2008,"Ford","Ranger","Good","4 cylinders","Gas",92458,"Automatic","RWD","Full-Size","Truck","White","WI",43.1228,-88.5279,"Non-JDM"
"124","Treasure Coast",44500,1961,"Chevrolet","Belair Bubble Top","Good","8 cylinders","Gas",57000,"Automatic","RWD","Full-Size","Sedan","Red","FL",27.3908,-80.3246,"Non-JDM"
"125","Flint",12995,2017,"Ford","Escape Se Awd",NA,NA,"Gas",120845,"Automatic",NA,NA,"Suv","White","MI",43.064,-83.8418,"Non-JDM"
"126","Wichita",15950,2015,"Ford","F-250 Super Duty",NA,"8 cylinders","Gas",131457,"Automatic","4WD","Full-Size","Pickup","White","KS",32.736,-97.1336,"Non-JDM"
"127","Northern Michigan",5295,2008,"Chevrolet","Uplander Ls","Excellent","6 cylinders","Gas",142900,"Automatic","FWD","Mid-Size","Mini-Van","Silver","MI",44.9104,-83.4592,"Non-JDM"
"128","North Jersey",3000,2006,"Hyundai","Tiburon","Good","4 cylinders","Gas",110000,"Automatic","FWD",NA,"Hatchback","Yellow","NJ",40.8742,-74.35,"Non-JDM"
"129","Grand Rapids",5495,2009,"Volkswagen","Routan",NA,NA,"Gas",148091,"Automatic",NA,NA,NA,NA,"MI",43.1824,-84.1122,"Non-JDM"
"130","Rapid City / West Sd",21500,2015,"Jeep","Grand Cherokee Overland 4wd","Excellent","6 cylinders","Gas",87000,"Automatic","4WD",NA,"Suv","Black","SD",44.4946,-103.865,"Non-JDM"
"131","Charlotte",124975,2017,"Audi","R8 V10",NA,"10 cylinders","Gas",16000,"Automatic","4WD",NA,"Coupe","Red","NC",32.7904,-96.8044,"Non-JDM"
"132","Chicago",21990,2018,"Toyota","Camry L Sedan 4d","Good",NA,"Gas",24896,"Automatic","FWD",NA,"Sedan","Silver","IL",41.83,-87.68,"JDM"
"133","Charlotte",22900,2013,"Volvo","Vnl64t630",NA,"other","Diesel",602267,"Automatic",NA,NA,"Other",NA,"NC",41.6071,-73.9109,"Non-JDM"
"134","Pullman / Moscow",49999,2018,"Ford","F150 Diesel Powerstroke Fx4",NA,NA,"Diesel",45985,"Automatic","4WD",NA,"Truck","White","ID",47.6561,-117.237,"Non-JDM"
"135","Skagit / Island / Sji",44000,2020,"Jeep","Wrangler",NA,NA,"Gas",12231,"Automatic","4WD",NA,"Suv","Red","WA",48.7569,-122.452,"Non-JDM"
"136","Hartford",11490,2007,"Toyota","4-Runner",NA,NA,"Gas",169565,"Automatic","4WD",NA,"Wagon",NA,"CT",42.835,-71.1078,"JDM"
"137","Wyoming",35899,2017,"Ram","3500",NA,NA,"Diesel",109528,"Automatic","4WD",NA,"Pickup","White","WY",40.3744,-104.694,"Non-JDM"
"138","Redding",11913,2015,"Dodge","Journey","Excellent","6 cylinders","Gas",101365,"Automatic","4WD",NA,"Suv","Custom","CA",40.4574,-122.328,"Non-JDM"
"139","Odessa / Midland",1700,2002,"Toyota","Camry","Fair","4 cylinders","Gas",219000,"Automatic",NA,NA,"Sedan","Blue","TX",31.889,-102.355,"JDM"
"140","South Jersey",42000,2015,"Chevrolet","Corvette",NA,"8 cylinders","Gas",37295,"Automatic","RWD",NA,"Coupe","White","NJ",40.4082,-74.3729,"Non-JDM"
"141","Daytona Beach",3500,2006,"Chrysler","Pt Cruiser","Good","4 cylinders","Gas",98456,"Automatic","FWD",NA,NA,NA,"FL",29.2833,-81.0882,"Non-JDM"
"142","Duluth / Superior",21000,2019,"Subaru","Forester","Excellent","4 cylinders","Gas",8000,"Automatic","4WD",NA,"Suv","Black","MN",46.6724,-92.2268,"JDM"
"143","Charlotte",45499,2017,"Ford","Super Duty F-550 Drw",NA,"10 cylinders","Gas",9466,"Automatic","RWD",NA,"Pickup","White","NC",38.7678,-77.7079,"Non-JDM"
"144","Fort Collins / North Co",17897,2019,"Volkswagen","Jetta 1.4t S","Good",NA,"Other",13263,"Automatic","FWD",NA,"Sedan","Black","CO",40.3944,-104.736,"Non-JDM"
"145","Richmond",27995,2016,"Ford","F-250 Sd",NA,NA,"Gas",99013,"Automatic","4WD",NA,"Pickup",NA,"VA",37.6147,-77.5224,"Non-JDM"
"146","Northwest Ga",26995,2012,"Chevrolet","Silverado 3500 Hd",NA,NA,"Gas",70215,"Automatic","4WD",NA,NA,"Black","GA",34.9568,-85.2507,"Non-JDM"
"147","Vermont",8495,2016,"Ford","Fiesta","Excellent","4 cylinders","Gas",58539,"Automatic","FWD","Compact","Hatchback","Black","VT",43.5125,-71.4957,"Non-JDM"
"148","Tyler / East Tx",12488,2008,"Ford","F-250 Superduty Lariat",NA,NA,"Diesel",126734,"Automatic",NA,NA,NA,NA,"TX",31.071,-97.3898,"Non-JDM"
"149","Washington, Dc",4200,2007,"Volkswagen","Jetta",NA,NA,"Gas",111000,"Automatic","FWD",NA,NA,NA,"DC",38.8871,-77.0932,"Non-JDM"
"150","Springfield",11500,2011,"Honda","Odyssey",NA,"6 cylinders","Gas",112743,"Automatic","FWD",NA,"Other","Custom","MO",37.2593,-93.2912,"JDM"
"151","Fayetteville",16995,2016,"Subaru","Forester 2.5i Touring Awd","Good",NA,"Gas",94605,"Automatic",NA,NA,"Wagon","Silver","AR",36.0934,-94.1538,"JDM"
"152","Detroit Metro",349,2018,"GMC","Acadia Sle","Like new",NA,"Gas",18000,"Automatic",NA,NA,"Suv",NA,"MI",42.4496,-82.975,"Non-JDM"
"153","Klamath Falls",8977,2014,"Dodge","Avenger",NA,"4 cylinders","Gas",92427,"Automatic","FWD",NA,"Sedan","Black","OR",42.2011,-121.756,"Non-JDM"
