"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4027","Springfield",11995,2015,"KIA","Soul","Excellent","4 cylinders","Gas",44535,"Automatic",NA,NA,NA,"Silver","MO",37.2593,-93.2912,"Non-JDM"
"4028","Medford-Ashland",42980,2018,"Chevrolet","Silverado 2500hd",NA,NA,"Other",40805,"Automatic",NA,NA,"Other","White","OR",38.7966,-121.216,"Non-JDM"
"4029","Central Nj",3300,2004,"Ford","Expedition",NA,"8 cylinders","Gas",193788,"Automatic","4WD",NA,"Suv","Green","NJ",40.1816,-74.6634,"Non-JDM"
"4030","Raleigh / Durham / Ch",15990,2017,"Hyundai","Tucson Se Sport Utility","Good",NA,"Gas",40383,"Automatic","FWD",NA,"Suv","Silver","NC",35.78,-78.79,"Non-JDM"
"4031","Kansas City, Mo",5480,2010,"Mazda","3","Good","4 cylinders","Gas",145840,"Automatic","FWD","Mid-Size","Sedan","Grey","KS",38.8865,-94.8204,"JDM"
"4032","Cleveland",4900,2004,"Chevrolet","Suburban","Excellent","8 cylinders","Gas",140000,"Automatic","4WD",NA,"Sedan",NA,"OH",41.6069,-81.4993,"Non-JDM"
"4033","Knoxville",22400,2017,"Ford","Mustang",NA,"6 cylinders","Gas",39117,"Automatic","RWD",NA,"Other","Yellow","TN",35.8929,-83.9387,"Non-JDM"
"4034","Redding",8905,2005,"Chevrolet","Tahoe Lt","Excellent","8 cylinders","Gas",220495,"Automatic","4WD",NA,"Suv","Red","CA",40.4574,-122.328,"Non-JDM"
"4035","Hartford",1988,2004,"Ford","Explorer",NA,NA,"Gas",164625,"Automatic",NA,NA,"Other","Silver","CT",41.9156,-72.6148,"Non-JDM"
"4036","Pittsburgh",26995,2014,"Ford","F-250 Sd",NA,NA,"Gas",127800,"Automatic",NA,NA,"Other","Blue","PA",40.8588,-81.5789,"Non-JDM"
"4037","Minneapolis / St Paul",29888,2013,"Chevrolet","Express Cargo Van","Good","8 cylinders","Gas",5377,"Automatic","4WD","Mid-Size","Van","White","MN",45.5534,-94.2318,"Non-JDM"
"4038","New Orleans",5900,2003,"Toyota","Tundra Sr5","Good","8 cylinders","Gas",269000,"Automatic",NA,NA,"Truck","Grey","LA",30.0005,-90.1331,"JDM"
